turn,intersection,org,dst,length
18704,18703,1970,593,3.5876169506919493
18708,18707,600,16695,10.746665553114596
18709,18707,16694,16695,11.66443557249971
18713,18712,16666,1971,0.18858035676506626
18717,18716,16700,16669,4.8755679306916155
18718,18716,16670,16669,6.017470202708704
18720,18719,595,16699,1.7154353743688149
18722,18721,16669,595,6.996690224962042
18723,18721,16669,596,7.6712913489333125
18725,18724,596,597,4.243353077163663e-05
18727,18726,597,598,3.2720685150717227e-05
18729,18728,598,1970,0.32603347197543675
18731,18730,16699,599,1.591978170925437e-05
18733,18732,599,600,0.6997341317433846
18735,18734,594,16694,0.14129311451733786
18739,18738,17254,16700,0.10204405948321446
18741,18740,16695,601,7.8267926608413125
18742,18740,16695,16696,8.47992145330569
18744,18743,16671,16670,0.033019445880505
18746,18745,1751,602,11.315334511673235
18747,18745,1751,7596,30.27153505926261
18748,18745,7336,602,23.227354735257325
18753,18752,602,1814,10.224812282372755
18754,18752,7629,1814,17.553771694475532
19066,19065,12353,514,10.609627078409558
19068,19067,12351,513,8.555917094698337
19070,19069,512,1039,5.285581970324549
19071,19069,512,12349,10.790947660586246
19073,19072,1039,12354,20.76416270087294
19074,19072,12352,12354,18.738275325578275
19075,19072,12352,12356,13.609217851011552
19077,19076,3141,12352,22.543583463394945
19078,19076,12282,1040,11.814236775408652
19079,19076,12282,12352,9.176911638917668
19081,19080,2696,1044,7.845597134152129
19082,19080,2696,3124,5.778806194451968
19083,19080,10152,1044,9.890037817628603
19084,19080,10152,3124,18.023129263791535
19086,19085,1045,9733,7.704989682630138
19087,19085,1045,10154,8.026255904346742
19088,19085,17014,9733,8.160090777169433
19089,19085,17014,10154,14.239151332155425
19091,19090,991,9571,6.339484998833045
19092,19090,991,10085,6.900667695579085
19093,19090,69622,9571,9.070768847965354
19094,19090,69622,10085,14.191818231145547
19098,19097,992,9560,8.468679821441105
19099,19097,992,9883,6.3117407313693965
19100,19097,9884,9560,9.928009156189658
19101,19097,9884,9883,16.021823792186165
19105,19104,993,9582,8.571302904826489
19106,19104,993,10087,8.351230249521919
19107,19104,10086,9582,11.546935241488697
19108,19104,10086,10087,16.53319811476296
19112,19111,994,9594,12.156393927580593
19113,19111,994,9885,13.839859556503718
19114,19111,9886,9594,15.666305424988504
19115,19111,9886,9885,25.45055667421243
19119,19118,995,9610,6.731952766888994
19120,19118,995,10089,10.232246632113846
19121,19118,10088,9610,11.450261886151674
19122,19118,10088,10089,21.57254266106103
19126,19125,996,9623,7.939892341641555
19127,19125,996,10090,10.060242946146698
19128,19125,10089,9623,11.854713046396745
19129,19125,10089,10090,18.81244247526128
19133,19132,997,9640,12.846466356487069
19134,19132,997,9888,7.928887086401111
19135,19132,9889,9640,18.66942586700739
19136,19132,9889,9888,25.8042793752211
19140,19139,3171,9325,0.745252762787312
19192,19191,8296,691,34.43659439852897
19193,19191,8296,694,35.84495892830408
19194,19191,8296,8297,27.615557124038517
19195,19191,10006,691,41.19489132342855
19196,19191,10006,694,40.73010445106941
19197,19191,10006,8297,20.150567088212004
19202,19201,516,8296,26.861380994139797
19203,19201,516,10001,37.63368754056534
19204,19201,8295,8296,34.301155837012246
19205,19201,8295,10001,24.895376445580908
19248,19247,10025,10026,18.97874444849819
19249,19247,10025,10075,13.379876429539696
19250,19247,10076,10026,12.906675531131176
19251,19247,10076,10075,17.333561821153896
19253,19252,10024,10074,15.140611074167374
19254,19252,10075,10074,14.679845213751436
19256,19255,8300,8301,24.167582555839445
19257,19255,8300,10061,18.110341732407278
19258,19255,13258,8301,15.673513865628053
19259,19255,13258,10061,25.849813442784864
19313,19312,16668,16810,16.613671069493662
19314,19312,8302,16810,13.883247683842415
19316,19315,1815,8284,18.524695324995246
19317,19315,1815,13255,16.37758603584072
68078,19315,68076,13255,11.516100646011598
68079,19315,68076,8284,19.869642165444716
19319,19318,8283,13256,15.77542325788479
19320,19318,13255,13256,21.454635050558842
19322,19321,13254,738,20.630618796067548
19323,19321,13254,13253,33.699681062619305
19325,19324,737,10028,20.857650007477154
19326,19324,737,10079,12.769184129250796
19327,19324,13257,10028,12.30949064552279
19328,19324,13257,10079,15.697917956220715
19330,19329,8281,737,20.528511085908598
19331,19329,8281,8282,11.271627949572105
19332,19329,10080,737,12.255083052684903
19333,19329,10080,8282,19.612618443329005
19335,19334,13253,1813,9.950026790652913
68080,19334,13253,68076,8.116345341207305
19337,19336,738,739,13.600044477216448
19338,19336,738,13495,17.87221098155156
19339,19336,1977,739,6.909679257518846
19340,19336,1977,13495,19.166239881276105
19342,19341,739,740,12.369289756531623
19343,19341,739,1976,7.9257468067734465
19344,19341,13494,740,12.44445731828066
19345,19341,13494,1976,14.850395449414751
19347,19346,740,741,20.754657030986156
19348,19346,742,741,17.782231857737916
19350,19349,743,742,27.710962714980614
19351,19349,743,8276,27.45120874669148
19352,19349,744,742,30.24837398430045
19353,19349,744,8276,23.786363589000064
19355,19354,8256,8255,30.242155989613327
19356,19354,8256,8277,21.49280613326177
19357,19354,10035,8255,19.2532807532239
19358,19354,10035,8277,24.65480222901356
19360,19359,8258,8257,27.279883524899475
